vip,dpt,correct rate
0,dpt,60.00
1,dpt,87.50
2,dpt,85.71
3,dpt,100.00
4,dpt,88.89
5,dpt,91.67
6,dpt,78.57
7,dpt,100.00
8,dpt,66.67
9,dpt,83.33
10,dpt,100.00
11,dpt,85.71
12,dpt,100.00
13,dpt,93.33
14,dpt,81.48
15,dpt,88.89
16,dpt,86.36
17,dpt,80.95
18,dpt,83.33
19,dpt,84.62
20,dpt,94.44
21,dpt,80.95
22,dpt,100.00
23,dpt,86.96
24,dpt,75.00
25,dpt,54.55
26,dpt,80.00
27,dpt,84.00
28,dpt,66.67
29,dpt,25.00
30,dpt,100.00
31,dpt,84.62
32,dpt,90.91
33,dpt,92.31
34,dpt,85.71
35,dpt,87.50
36,dpt,81.82
37,dpt,70.00
38,dpt,85.00
39,dpt,100.00
40,dpt,68.42
41,dpt,50.00
42,dpt,93.75
43,dpt,100.00
44,dpt,83.33
45,dpt,90.00
46,dpt,95.45
47,dpt,78.57
48,dpt,83.33
49,dpt,81.48
50,dpt,89.66
51,dpt,80.00
52,dpt,73.68
53,dpt,88.89
54,dpt,71.43
55,dpt,93.75
56,dpt,50.00
57,dpt,0.00
58,dpt,100.00
59,dpt,100.00
60,dpt,88.89
61,dpt,100.00
62,dpt,63.64
63,dpt,50.00
64,dpt,0.00
65,dpt,90.91
66,dpt,27.27
67,dpt,0.00
68,dpt,71.43
69,dpt,85.71
70,dpt,100.00
71,dpt,87.50
72,dpt,93.33
73,dpt,84.62
74,dpt,84.62
75,dpt,100.00
76,dpt,100.00
77,dpt,85.71
78,dpt,66.67
79,dpt,0.00
80,dpt,66.67
81,dpt,75.00
82,dpt,87.50
83,dpt,95.45
84,dpt,66.67
85,dpt,100.00
86,dpt,100.00
87,dpt,95.00
88,dpt,100.00
89,dpt,100.00
90,dpt,94.12
91,dpt,93.75
92,dpt,100.00
93,dpt,80.00
94,dpt,100.00
95,dpt,100.00
96,dpt,71.43
97,dpt,100.00
98,dpt,69.23
99,dpt,91.67
100,dpt,90.91
101,dpt,91.67
102,dpt,77.78
103,dpt,100.00
104,dpt,75.00
105,dpt,100.00
106,dpt,66.67
107,dpt,83.33
108,dpt,100.00
109,dpt,90.00
110,dpt,100.00
111,dpt,72.73
112,dpt,86.96
113,dpt,85.71
114,dpt,87.50
115,dpt,80.00
116,dpt,100.00
117,dpt,88.89
118,dpt,0.00
119,dpt,92.86
120,dpt,33.33
121,dpt,100.00
122,dpt,72.73
123,dpt,60.00
124,dpt,57.14
125,dpt,86.67
126,dpt,91.30
127,dpt,60.00
128,dpt,100.00
129,dpt,100.00
130,dpt,84.62
131,dpt,100.00
132,dpt,92.00
133,dpt,82.35
134,dpt,100.00
135,dpt,90.00
136,dpt,69.23
137,dpt,66.67
138,dpt,58.33
139,dpt,90.00
140,dpt,94.12
141,dpt,75.00
142,dpt,80.00
143,dpt,75.00
144,dpt,100.00
145,dpt,100.00
146,dpt,92.31
147,dpt,100.00
148,dpt,90.48
149,dpt,100.00
150,dpt,87.50
151,dpt,94.74
