vip,bnd,correct rate
0,bnd,70.00
1,bnd,0.00
2,bnd,47.06
3,bnd,60.00
4,bnd,0.00
5,bnd,0.00
6,bnd,71.43
7,bnd,37.50
8,bnd,25.00
9,bnd,60.00
10,bnd,0.00
11,bnd,100.00
12,bnd,31.25
13,bnd,0.00
14,bnd,54.55
15,bnd,100.00
16,bnd,0.00
17,bnd,66.67
18,bnd,42.86
19,bnd,75.00
20,bnd,0.00
21,bnd,0.00
22,bnd,0.00
23,bnd,50.00
24,bnd,20.00
25,bnd,55.00
26,bnd,0.00
27,bnd,40.00
28,bnd,63.64
29,bnd,66.67
30,bnd,14.29
31,bnd,80.00
32,bnd,50.00
33,bnd,25.00
34,bnd,33.33
35,bnd,66.67
36,bnd,62.50
37,bnd,0.00
38,bnd,66.67
39,bnd,0.00
40,bnd,25.00
41,bnd,0.00
42,bnd,30.00
43,bnd,0.00
44,bnd,50.00
45,bnd,0.00
46,bnd,50.00
47,bnd,0.00
48,bnd,0.00
49,bnd,57.14
50,bnd,0.00
51,bnd,50.00
52,bnd,0.00
53,bnd,0.00
54,bnd,50.00
55,bnd,80.00
56,bnd,50.00
57,bnd,0.00
58,bnd,40.00
59,bnd,33.33
60,bnd,50.00
61,bnd,75.00
62,bnd,60.00
63,bnd,25.00
64,bnd,40.00
65,bnd,66.67
66,bnd,22.22
67,bnd,71.43
68,bnd,75.00
69,bnd,0.00
70,bnd,100.00
71,bnd,62.50
72,bnd,62.50
73,bnd,0.00
74,bnd,37.50
75,bnd,0.00
76,bnd,50.00
77,bnd,63.64
78,bnd,50.00
79,bnd,83.33
80,bnd,75.00
81,bnd,60.00
82,bnd,60.00
83,bnd,80.00
84,bnd,50.00
85,bnd,14.29
86,bnd,57.14
87,bnd,0.00
88,bnd,50.00
89,bnd,0.00
90,bnd,0.00
91,bnd,66.67
92,bnd,0.00
93,bnd,36.36
94,bnd,66.67
95,bnd,0.00
96,bnd,66.67
97,bnd,50.00
98,bnd,50.00
99,bnd,33.33
100,bnd,0.00
101,bnd,0.00
102,bnd,44.44
103,bnd,42.86
104,bnd,20.00
105,bnd,66.67
106,bnd,0.00
107,bnd,60.00
108,bnd,41.67
109,bnd,0.00
110,bnd,50.00
111,bnd,0.00
112,bnd,0.00
113,bnd,42.86
114,bnd,0.00
115,bnd,50.00
116,bnd,45.45
117,bnd,0.00
118,bnd,66.67
119,bnd,0.00
120,bnd,0.00
121,bnd,0.00
122,bnd,63.64
123,bnd,0.00
124,bnd,55.56
125,bnd,0.00
126,bnd,0.00
127,bnd,0.00
128,bnd,66.67
129,bnd,50.00
130,bnd,44.44
131,bnd,0.00
132,bnd,0.00
133,bnd,0.00
134,bnd,0.00
135,bnd,0.00
136,bnd,0.00
137,bnd,66.67
138,bnd,0.00
139,bnd,0.00
140,bnd,22.22
141,bnd,66.67
142,bnd,0.00
143,bnd,0.00
144,bnd,44.44
145,bnd,0.00
146,bnd,55.56
147,bnd,0.00
148,bnd,0.00
149,bnd,25.00
150,bnd,0.00
151,bnd,0.00
152,bnd,0.00
153,bnd,0.00
154,bnd,0.00
155,bnd,0.00
156,bnd,62.50
157,bnd,50.00
158,bnd,0.00
159,bnd,0.00
160,bnd,50.00
161,bnd,0.00
162,bnd,50.00
163,bnd,0.00
164,bnd,0.00
165,bnd,40.00
166,bnd,33.33
167,bnd,50.00
168,bnd,0.00
169,bnd,66.67
170,bnd,0.00
171,bnd,33.33
172,bnd,0.00
173,bnd,75.00
174,bnd,0.00
175,bnd,66.67
176,bnd,25.00
177,bnd,66.67
178,bnd,80.00
179,bnd,80.00
180,bnd,33.33
181,bnd,0.00
182,bnd,85.71
183,bnd,33.33
184,bnd,0.00
185,bnd,33.33
186,bnd,0.00
187,bnd,33.33
188,bnd,0.00
189,bnd,66.67
190,bnd,50.00
191,bnd,0.00
192,bnd,0.00
193,bnd,42.86
194,bnd,37.50
195,bnd,35.29
196,bnd,83.33
197,bnd,33.33
198,bnd,25.00
199,bnd,50.00
200,bnd,66.67
201,bnd,40.00
202,bnd,0.00
203,bnd,42.86
204,bnd,60.00
205,bnd,80.00
206,bnd,0.00
207,bnd,33.33
208,bnd,53.85
209,bnd,54.55
210,bnd,16.67
211,bnd,50.00
212,bnd,0.00
213,bnd,57.14
214,bnd,57.14
215,bnd,0.00
216,bnd,54.55
217,bnd,0.00
218,bnd,50.00
219,bnd,50.00
220,bnd,0.00
221,bnd,66.67
222,bnd,0.00
223,bnd,0.00
224,bnd,33.33
225,bnd,57.14
226,bnd,50.00
227,bnd,33.33
228,bnd,75.00
229,bnd,75.00
230,bnd,41.18
231,bnd,53.33
232,bnd,66.67
233,bnd,36.36
234,bnd,66.67
235,bnd,44.44
236,bnd,66.67
237,bnd,6.67
238,bnd,66.67
239,bnd,66.67
240,bnd,36.36
241,bnd,48.15
242,bnd,0.00
243,bnd,33.33
244,bnd,33.33
245,bnd,66.67
246,bnd,33.33
247,bnd,0.00
248,bnd,40.00
249,bnd,50.00
250,bnd,38.46
251,bnd,66.67
252,bnd,25.00
253,bnd,66.67
254,bnd,50.00
255,bnd,50.00
256,bnd,28.57
257,bnd,54.55
258,bnd,50.00
259,bnd,36.36
260,bnd,0.00
261,bnd,80.00
262,bnd,41.67
263,bnd,50.00
264,bnd,33.33
265,bnd,71.43
266,bnd,50.00
267,bnd,0.00
268,bnd,0.00
269,bnd,50.00
270,bnd,77.78
271,bnd,0.00
272,bnd,50.00
273,bnd,44.44
274,bnd,50.00
275,bnd,54.55
276,bnd,0.00
277,bnd,66.67
278,bnd,50.00
279,bnd,71.43
280,bnd,57.89
281,bnd,66.67
282,bnd,40.00
283,bnd,33.33
284,bnd,50.00
285,bnd,80.00
286,bnd,0.00
287,bnd,33.33
288,bnd,57.14
289,bnd,33.33
290,bnd,71.43
291,bnd,0.00
292,bnd,60.00
293,bnd,0.00
294,bnd,0.00
295,bnd,50.00
296,bnd,41.18
297,bnd,50.00
