vip,dpt,correct rate
0,dpt,88.89
1,dpt,81.82
2,dpt,54.17
3,dpt,66.67
4,dpt,33.33
5,dpt,87.50
6,dpt,62.50
7,dpt,50.00
8,dpt,75.00
9,dpt,67.74
10,dpt,100.00
11,dpt,75.00
12,dpt,64.29
13,dpt,100.00
14,dpt,47.37
15,dpt,50.00
16,dpt,33.33
17,dpt,71.43
18,dpt,56.25
19,dpt,100.00
20,dpt,80.00
21,dpt,33.33
22,dpt,33.33
23,dpt,100.00
24,dpt,70.00
25,dpt,72.00
26,dpt,33.33
27,dpt,88.89
28,dpt,69.23
29,dpt,91.67
30,dpt,42.86
31,dpt,100.00
32,dpt,90.00
33,dpt,75.00
34,dpt,57.14
35,dpt,75.00
36,dpt,76.92
37,dpt,50.00
38,dpt,66.67
39,dpt,50.00
40,dpt,86.67
41,dpt,0.00
42,dpt,76.19
43,dpt,0.00
44,dpt,100.00
45,dpt,87.50
46,dpt,80.00
47,dpt,100.00
48,dpt,0.00
49,dpt,66.67
50,dpt,75.00
51,dpt,64.29
52,dpt,0.00
53,dpt,0.00
54,dpt,80.00
55,dpt,57.14
56,dpt,100.00
57,dpt,100.00
58,dpt,85.00
59,dpt,86.67
60,dpt,83.33
61,dpt,100.00
62,dpt,83.33
63,dpt,71.43
64,dpt,85.71
65,dpt,83.33
66,dpt,55.56
67,dpt,70.00
68,dpt,100.00
69,dpt,60.00
70,dpt,66.67
71,dpt,100.00
72,dpt,75.00
73,dpt,0.00
74,dpt,77.78
75,dpt,40.00
76,dpt,60.00
77,dpt,84.62
78,dpt,100.00
79,dpt,90.00
80,dpt,77.78
81,dpt,80.00
82,dpt,71.43
83,dpt,71.43
84,dpt,83.33
85,dpt,37.50
86,dpt,66.67
87,dpt,71.43
88,dpt,100.00
89,dpt,25.00
90,dpt,64.71
91,dpt,100.00
92,dpt,85.71
93,dpt,47.83
94,dpt,87.50
95,dpt,0.00
96,dpt,76.47
97,dpt,81.82
98,dpt,91.67
99,dpt,80.00
100,dpt,50.00
101,dpt,50.00
102,dpt,78.57
103,dpt,45.45
104,dpt,25.00
105,dpt,100.00
106,dpt,85.71
107,dpt,80.00
108,dpt,71.43
109,dpt,50.00
110,dpt,66.67
111,dpt,75.00
112,dpt,62.50
113,dpt,80.00
114,dpt,60.00
115,dpt,75.00
116,dpt,75.00
117,dpt,100.00
118,dpt,100.00
119,dpt,100.00
120,dpt,50.00
121,dpt,28.57
122,dpt,81.82
123,dpt,100.00
124,dpt,66.67
125,dpt,0.00
126,dpt,100.00
127,dpt,66.67
128,dpt,100.00
129,dpt,50.00
130,dpt,60.00
131,dpt,100.00
132,dpt,100.00
133,dpt,50.00
134,dpt,66.67
135,dpt,50.00
136,dpt,75.00
137,dpt,75.00
138,dpt,100.00
139,dpt,90.00
140,dpt,57.14
141,dpt,100.00
142,dpt,50.00
143,dpt,100.00
144,dpt,57.14
145,dpt,100.00
146,dpt,58.33
147,dpt,66.67
148,dpt,100.00
149,dpt,100.00
150,dpt,33.33
151,dpt,50.00
152,dpt,100.00
153,dpt,100.00
154,dpt,0.00
155,dpt,80.00
156,dpt,55.56
157,dpt,88.89
158,dpt,50.00
159,dpt,100.00
160,dpt,88.89
161,dpt,100.00
162,dpt,80.00
163,dpt,50.00
164,dpt,85.71
165,dpt,40.00
166,dpt,76.92
167,dpt,100.00
168,dpt,75.00
169,dpt,100.00
170,dpt,100.00
171,dpt,100.00
172,dpt,60.00
173,dpt,80.00
174,dpt,66.67
175,dpt,84.62
176,dpt,66.67
177,dpt,100.00
178,dpt,50.00
