vip,dpt,correct rate
0,dpt,40.63
1,dpt,50.00
2,dpt,37.14
3,dpt,25.00
4,dpt,25.00
5,dpt,77.78
6,dpt,35.71
7,dpt,14.29
8,dpt,75.00
9,dpt,37.25
10,dpt,50.00
11,dpt,33.33
12,dpt,25.00
13,dpt,50.00
14,dpt,33.33
15,dpt,40.00
16,dpt,0.00
17,dpt,25.00
18,dpt,26.92
19,dpt,64.29
20,dpt,58.33
21,dpt,33.33
22,dpt,33.33
23,dpt,100.00
24,dpt,63.64
25,dpt,51.61
26,dpt,33.33
27,dpt,57.14
28,dpt,38.10
29,dpt,45.45
30,dpt,23.08
31,dpt,33.33
32,dpt,60.00
33,dpt,50.00
34,dpt,28.57
35,dpt,75.00
36,dpt,39.13
37,dpt,12.50
38,dpt,20.00
39,dpt,50.00
40,dpt,28.89
41,dpt,0.00
42,dpt,27.03
43,dpt,0.00
44,dpt,100.00
45,dpt,36.11
46,dpt,66.67
47,dpt,66.67
48,dpt,0.00
49,dpt,50.00
50,dpt,75.00
51,dpt,38.10
52,dpt,0.00
53,dpt,0.00
54,dpt,42.86
55,dpt,50.00
56,dpt,60.00
57,dpt,100.00
58,dpt,42.50
59,dpt,56.52
60,dpt,62.50
61,dpt,25.00
62,dpt,62.50
63,dpt,40.00
64,dpt,54.55
65,dpt,38.10
66,dpt,45.45
67,dpt,43.75
68,dpt,48.00
69,dpt,42.86
70,dpt,25.00
71,dpt,75.00
72,dpt,33.33
73,dpt,0.00
74,dpt,58.33
75,dpt,25.00
76,dpt,50.00
77,dpt,56.25
78,dpt,83.33
79,dpt,42.11
80,dpt,46.15
81,dpt,37.50
82,dpt,62.50
83,dpt,41.67
84,dpt,57.14
85,dpt,37.50
86,dpt,62.50
87,dpt,33.33
88,dpt,66.67
89,dpt,25.00
90,dpt,47.83
91,dpt,50.00
92,dpt,75.00
93,dpt,25.00
94,dpt,58.33
95,dpt,0.00
96,dpt,38.24
97,dpt,45.00
98,dpt,68.75
99,dpt,66.67
100,dpt,66.67
101,dpt,0.00
102,dpt,45.83
103,dpt,26.32
104,dpt,8.33
105,dpt,32.14
106,dpt,50.00
107,dpt,44.44
108,dpt,32.14
109,dpt,50.00
110,dpt,50.00
111,dpt,20.00
112,dpt,28.57
113,dpt,52.17
114,dpt,33.33
115,dpt,42.86
116,dpt,56.25
117,dpt,50.00
118,dpt,100.00
119,dpt,66.67
120,dpt,12.50
121,dpt,14.29
122,dpt,30.77
123,dpt,50.00
124,dpt,38.89
125,dpt,0.00
126,dpt,25.00
127,dpt,40.00
128,dpt,66.67
129,dpt,33.33
130,dpt,45.45
131,dpt,33.33
132,dpt,33.33
133,dpt,0.00
134,dpt,66.67
135,dpt,27.27
136,dpt,33.33
137,dpt,75.00
138,dpt,33.33
139,dpt,57.14
140,dpt,36.36
141,dpt,57.14
142,dpt,26.67
143,dpt,100.00
144,dpt,42.11
145,dpt,66.67
146,dpt,43.75
147,dpt,25.00
148,dpt,75.00
149,dpt,80.00
150,dpt,33.33
151,dpt,40.00
152,dpt,36.36
153,dpt,100.00
154,dpt,0.00
155,dpt,50.00
156,dpt,45.45
157,dpt,66.67
158,dpt,25.00
159,dpt,66.67
160,dpt,66.67
161,dpt,40.00
162,dpt,80.00
163,dpt,42.86
164,dpt,60.00
165,dpt,25.00
166,dpt,55.56
167,dpt,100.00
168,dpt,50.00
169,dpt,80.00
170,dpt,50.00
171,dpt,45.45
172,dpt,20.00
173,dpt,44.44
174,dpt,50.00
175,dpt,66.67
176,dpt,30.00
177,dpt,50.00
178,dpt,25.00
179,dpt,33.33
180,dpt,81.82
181,dpt,40.00
182,dpt,38.89
183,dpt,50.00
