vip,bnd,correct rate
0,bnd,40.00
1,bnd,22.22
2,bnd,0.00
3,bnd,25.00
4,bnd,0.00
5,bnd,5.88
6,bnd,35.71
7,bnd,20.00
8,bnd,23.08
9,bnd,36.84
10,bnd,0.00
11,bnd,43.75
12,bnd,25.00
13,bnd,7.14
14,bnd,17.07
15,bnd,16.67
16,bnd,17.65
17,bnd,23.33
18,bnd,29.17
19,bnd,42.11
20,bnd,21.43
21,bnd,32.14
22,bnd,41.67
23,bnd,12.90
24,bnd,40.00
25,bnd,61.54
26,bnd,0.00
27,bnd,47.06
28,bnd,22.22
29,bnd,0.00
30,bnd,0.00
31,bnd,37.50
32,bnd,14.29
33,bnd,34.38
34,bnd,42.86
35,bnd,12.50
36,bnd,28.57
37,bnd,41.67
38,bnd,46.15
39,bnd,19.05
40,bnd,28.57
41,bnd,28.57
42,bnd,45.00
43,bnd,0.00
44,bnd,16.67
45,bnd,32.56
46,bnd,26.67
47,bnd,20.00
48,bnd,7.69
49,bnd,27.45
50,bnd,35.00
51,bnd,57.14
52,bnd,40.91
53,bnd,35.71
54,bnd,32.14
55,bnd,28.13
56,bnd,0.00
57,bnd,0.00
58,bnd,38.46
59,bnd,44.44
60,bnd,50.00
61,bnd,50.00
62,bnd,8.33
63,bnd,16.67
64,bnd,0.00
65,bnd,16.00
66,bnd,15.38
67,bnd,0.00
68,bnd,44.44
69,bnd,35.29
70,bnd,28.57
71,bnd,31.25
72,bnd,12.00
73,bnd,3.13
74,bnd,25.00
75,bnd,57.14
76,bnd,0.00
77,bnd,36.36
78,bnd,11.76
79,bnd,0.00
80,bnd,33.33
81,bnd,6.67
82,bnd,40.00
83,bnd,4.65
84,bnd,42.86
85,bnd,25.00
86,bnd,0.00
87,bnd,26.47
88,bnd,0.00
89,bnd,22.73
90,bnd,16.13
91,bnd,65.00
92,bnd,23.81
93,bnd,12.00
94,bnd,0.00
95,bnd,22.22
96,bnd,30.00
97,bnd,50.00
98,bnd,35.29
99,bnd,35.48
100,bnd,13.33
101,bnd,16.67
102,bnd,12.00
103,bnd,0.00
104,bnd,0.00
105,bnd,5.00
106,bnd,50.00
107,bnd,25.00
108,bnd,15.79
109,bnd,42.86
110,bnd,7.69
111,bnd,61.54
112,bnd,33.33
113,bnd,36.36
114,bnd,15.38
115,bnd,50.00
116,bnd,11.11
117,bnd,55.56
118,bnd,0.00
119,bnd,43.48
120,bnd,8.33
121,bnd,14.29
122,bnd,41.67
123,bnd,43.75
124,bnd,18.75
125,bnd,27.78
126,bnd,36.36
127,bnd,41.67
128,bnd,12.50
129,bnd,12.00
130,bnd,30.77
131,bnd,0.00
132,bnd,35.29
133,bnd,40.00
134,bnd,7.69
135,bnd,29.63
136,bnd,42.11
137,bnd,66.67
138,bnd,6.25
139,bnd,13.33
140,bnd,24.00
141,bnd,0.00
142,bnd,50.00
143,bnd,30.43
144,bnd,28.57
145,bnd,20.00
146,bnd,31.58
147,bnd,14.81
148,bnd,29.63
149,bnd,0.00
150,bnd,27.78
151,bnd,34.62
152,bnd,15.00
153,bnd,41.18
154,bnd,37.50
155,bnd,30.00
156,bnd,11.11
157,bnd,15.38
158,bnd,28.13
159,bnd,25.00
160,bnd,60.00
161,bnd,0.00
162,bnd,33.33
163,bnd,2.33
164,bnd,22.22
165,bnd,46.43
166,bnd,42.86
167,bnd,40.00
168,bnd,26.32
169,bnd,19.05
170,bnd,22.22
171,bnd,40.00
172,bnd,20.59
173,bnd,0.00
174,bnd,42.11
175,bnd,25.00
176,bnd,23.08
177,bnd,33.33
178,bnd,16.67
179,bnd,40.00
180,bnd,0.00
181,bnd,0.00
182,bnd,66.67
183,bnd,0.00
184,bnd,33.33
185,bnd,35.00
186,bnd,0.00
187,bnd,20.00
188,bnd,25.93
189,bnd,28.57
190,bnd,27.50
191,bnd,21.74
192,bnd,25.00
193,bnd,45.45
194,bnd,24.14
195,bnd,30.00
