vip,dpt,correct rate
0,dpt,40.00
1,dpt,77.78
2,dpt,52.38
3,dpt,81.25
4,dpt,58.33
5,dpt,64.71
6,dpt,39.29
7,dpt,80.00
8,dpt,46.15
9,dpt,52.63
10,dpt,100.00
11,dpt,56.25
12,dpt,75.00
13,dpt,50.00
14,dpt,48.78
15,dpt,66.67
16,dpt,50.00
17,dpt,56.67
18,dpt,58.33
19,dpt,57.89
20,dpt,60.71
21,dpt,60.71
22,dpt,50.00
23,dpt,61.29
24,dpt,42.86
25,dpt,30.77
26,dpt,11.11
27,dpt,61.76
28,dpt,44.44
29,dpt,16.67
30,dpt,50.00
31,dpt,62.50
32,dpt,71.43
33,dpt,75.00
34,dpt,42.86
35,dpt,87.50
36,dpt,64.29
37,dpt,41.67
38,dpt,61.54
39,dpt,42.86
40,dpt,46.43
41,dpt,42.86
42,dpt,75.00
43,dpt,66.67
44,dpt,83.33
45,dpt,58.14
46,dpt,70.00
47,dpt,55.00
48,dpt,69.23
49,dpt,41.18
50,dpt,65.00
51,dpt,57.14
52,dpt,63.64
53,dpt,57.14
54,dpt,53.57
55,dpt,46.88
56,dpt,50.00
57,dpt,0.00
58,dpt,76.92
59,dpt,61.11
60,dpt,80.00
61,dpt,80.00
62,dpt,58.33
63,dpt,33.33
64,dpt,0.00
65,dpt,40.00
66,dpt,23.08
67,dpt,0.00
68,dpt,55.56
69,dpt,70.59
70,dpt,42.86
71,dpt,37.50
72,dpt,36.00
73,dpt,34.38
74,dpt,68.75
75,dpt,100.00
76,dpt,75.00
77,dpt,54.55
78,dpt,47.06
79,dpt,0.00
80,dpt,50.00
81,dpt,60.00
82,dpt,70.00
83,dpt,48.84
84,dpt,42.86
85,dpt,100.00
86,dpt,100.00
87,dpt,52.94
88,dpt,100.00
89,dpt,68.18
90,dpt,51.61
91,dpt,75.00
92,dpt,42.86
93,dpt,48.00
94,dpt,62.50
95,dpt,61.11
96,dpt,50.00
97,dpt,75.00
98,dpt,52.94
99,dpt,70.97
100,dpt,66.67
101,dpt,45.83
102,dpt,52.00
103,dpt,75.00
104,dpt,75.00
105,dpt,55.00
106,dpt,50.00
107,dpt,62.50
108,dpt,68.42
109,dpt,50.00
110,dpt,76.92
111,dpt,61.54
112,dpt,74.07
113,dpt,54.55
114,dpt,53.85
115,dpt,66.67
116,dpt,55.56
117,dpt,77.78
118,dpt,0.00
119,dpt,56.52
120,dpt,25.00
121,dpt,85.71
122,dpt,66.67
123,dpt,56.25
124,dpt,50.00
125,dpt,66.67
126,dpt,60.61
127,dpt,50.00
128,dpt,87.50
129,dpt,60.00
130,dpt,42.31
131,dpt,100.00
132,dpt,67.65
133,dpt,70.00
134,dpt,61.54
135,dpt,62.96
136,dpt,36.84
137,dpt,66.67
138,dpt,43.75
139,dpt,53.33
140,dpt,64.00
141,dpt,75.00
142,dpt,60.00
143,dpt,47.83
144,dpt,78.57
145,dpt,70.00
146,dpt,57.89
147,dpt,44.44
148,dpt,66.67
149,dpt,100.00
150,dpt,77.78
151,dpt,65.38
152,dpt,50.00
153,dpt,64.71
154,dpt,75.00
155,dpt,63.33
156,dpt,44.44
157,dpt,51.28
158,dpt,56.25
159,dpt,53.13
160,dpt,90.00
161,dpt,50.00
162,dpt,66.67
163,dpt,34.88
164,dpt,50.00
165,dpt,67.86
166,dpt,57.14
167,dpt,60.00
168,dpt,36.84
169,dpt,52.38
170,dpt,51.85
171,dpt,53.33
172,dpt,41.18
173,dpt,100.00
174,dpt,68.42
175,dpt,25.00
176,dpt,53.85
177,dpt,61.90
178,dpt,41.67
179,dpt,57.14
180,dpt,0.00
181,dpt,75.00
182,dpt,0.00
183,dpt,71.43
184,dpt,80.95
185,dpt,60.00
186,dpt,75.00
187,dpt,46.67
188,dpt,48.15
189,dpt,57.14
190,dpt,37.50
191,dpt,69.57
192,dpt,75.00
193,dpt,63.64
194,dpt,62.07
195,dpt,47.50
196,dpt,61.54
197,dpt,52.63
198,dpt,57.69
199,dpt,0.00
200,dpt,40.00
201,dpt,48.65
202,dpt,33.33
203,dpt,55.56
204,dpt,70.00
205,dpt,57.14
206,dpt,0.00
207,dpt,69.23
208,dpt,50.00
209,dpt,70.59
210,dpt,71.43
211,dpt,50.00
212,dpt,85.71
213,dpt,64.71
214,dpt,100.00
215,dpt,75.00
216,dpt,66.67
217,dpt,48.15
218,dpt,50.00
219,dpt,0.00
220,dpt,44.44
221,dpt,25.00
222,dpt,80.00
223,dpt,45.45
224,dpt,88.89
225,dpt,33.33
226,dpt,40.00
227,dpt,83.33
228,dpt,76.47
229,dpt,61.54
230,dpt,70.00
231,dpt,53.85
232,dpt,65.38
233,dpt,0.00
234,dpt,83.33
235,dpt,0.00
236,dpt,55.17
237,dpt,50.00
238,dpt,47.62
239,dpt,60.00
240,dpt,0.00
241,dpt,50.00
242,dpt,71.43
243,dpt,77.78
244,dpt,50.00
245,dpt,43.75
246,dpt,40.91
247,dpt,60.87
248,dpt,100.00
249,dpt,50.00
250,dpt,50.00
251,dpt,86.67
252,dpt,75.00
253,dpt,0.00
254,dpt,50.00
255,dpt,72.00
256,dpt,100.00
257,dpt,58.33
258,dpt,41.46
259,dpt,50.00
260,dpt,65.38
261,dpt,44.83
262,dpt,21.59
263,dpt,57.14
264,dpt,28.57
265,dpt,16.67
266,dpt,84.62
267,dpt,92.86
268,dpt,43.75
269,dpt,50.00
270,dpt,57.14
271,dpt,40.00
272,dpt,38.89
273,dpt,40.00
274,dpt,51.72
275,dpt,70.00
276,dpt,72.73
277,dpt,65.38
278,dpt,55.26
279,dpt,45.45
280,dpt,100.00
281,dpt,40.00
282,dpt,51.22
283,dpt,70.59
284,dpt,42.86
285,dpt,44.44
286,dpt,38.89
287,dpt,31.25
288,dpt,77.78
289,dpt,64.71
290,dpt,55.56
291,dpt,38.24
292,dpt,40.00
293,dpt,75.00
294,dpt,53.85
295,dpt,40.00
296,dpt,25.00
297,dpt,44.44
298,dpt,56.52
299,dpt,37.29
300,dpt,72.22
301,dpt,48.15
302,dpt,100.00
303,dpt,50.00
304,dpt,53.13
305,dpt,69.23
306,dpt,100.00
307,dpt,84.62
308,dpt,66.67
309,dpt,56.52
310,dpt,71.43
311,dpt,55.88
312,dpt,33.33
313,dpt,47.37
314,dpt,37.50
315,dpt,57.89
316,dpt,36.73
317,dpt,82.14
318,dpt,66.67
319,dpt,64.71
320,dpt,53.85
321,dpt,75.00
322,dpt,0.00
323,dpt,43.75
324,dpt,0.00
325,dpt,62.07
326,dpt,51.85
327,dpt,0.00
328,dpt,40.00
329,dpt,41.89
330,dpt,0.00
331,dpt,62.50
332,dpt,33.33
333,dpt,50.00
334,dpt,66.67
335,dpt,0.00
336,dpt,63.64
337,dpt,55.56
338,dpt,57.14
339,dpt,54.05
340,dpt,57.14
